IBGE;População;Cobertura AB
211400;51471;100,00
310010;6972;100,00
310020;23223;100,00
310030;13465;100,00
310040;3994;100,00
310050;9575;100,00
310060;13600;100,00
310070;2005;100,00
310080;4448;100,00
310090;19166;100,00
310100;13477;100,00
310110;25193;100,00
310120;6032;100,00
310130;2683;100,00
310140;3003;0,00
310150;35321;86,04
310160;79481;86,25
310163;6831;100,00
310170;41642;100,00
310180;7411;100,00
310190;19745;100,00
310200;14414;100,00
310205;5799;100,00
315350;8333;100,00
310210;11146;100,00
310220;3973;100,00
310230;15239;100,00
310240;3606;100,00
310250;4751;100,00
310260;40747;33,87
310280;12242;100,00
310285;8481;100,00
310290;11432;100,00
310300;9363;100,00
310310;1609;100,00
310320;2341;100,00
310330;2066;100,00
310340;36705;100,00
310350;116691;86,97
310360;2804;100,00
310370;8425;100,00
310375;6804;100,00
310380;2833;100,00
310390;9142;100,00
310400;105083;87,93
310410;10657;97,12
